text,start,end
เดิมจะได้โปรโมชั่น iPhone,254.066,256.50600000000003
สี่ สองร้อยห้าสิบ,256.458,257.882
กระไบ,258.186,258.97
ราคาพิเศษหนึ่งหมื่นเจ็ดพันสี่ร้อยบาทนะคะ,259.05,261.914
เป็นส่วนให้เก็บค่าโทรรายเดือน,262.026,263.866
ฮะ ลูกค้า,264.074,265.178
ใช้ โทร มาก แนะนำ ให้ เก็บ เป็น หนึ่ง พัน เก้า ร้อย,265.418,268.666
เก้า สิบ เก้า บาท,268.618,269.594
ลูกค้าจะได้,269.706,271.642
ใช้โทรฟรีทุกเครือข่ายหนึ่งพันหกร้อยนาทีต่อเดือน,272.074,275.802
แล้วก็อินเทอร์เน็ตความล้มห้ามสีเมล์อั้น,276.01,278.362
ต่อเดือนค่ะ แป๊บเจ้าค่ะ,278.378,280.218
พันหกร้อยเก้าสิบห้า,281.162,282.266
สิบเก้า บาท,282.218,282.97
โทษ พีท ซึ่ง เครือข่าย พัน สอง ร้อย นาที,283.018,285.505
 อินเทอร์เน็ต ความเร็ว ห้า สี่ ไม่ อั้น ค่ะ,285.505,287.578
สัญญาณ 24 เดือนรอบบิลจะตัดทุก,287.754,290.341
วันที่ 30 ของเดือนนะคะ ผมชอบ,290.341,292.928
ชื่อนักสกุลของลูกค้าค่ะ คุณลูกค้า,292.928,295.802
ย้าย ข้า ยาย ข้า จาก ไหน คะ และ ขอ เบอร์,295.914,298.116
 ที่ ต้องการ ย้าย ข้า ยาย ด้วย ค่ะ ขอบคุณ ค่ะ,298.116,300.538
รอ สัก ครู่ นะคะ,300.554,301.818
กำลังดำเนินการให้อยู่ค่ะ คุณลูกค้า,301.93,304.73
สรุป ชำระเป็น บัตรเครดิต หรือ บัตร เดบิต ,304.874,307.54
ดี คะ ขอ ทราบ หมาย เลข บัตร เครดิต,307.54,309.72200000000004
และวันหมดอายุ,309.738,311.13
ด้วยนะคะ ออม,311.882,313.05
ค่ะ,313.61,314.394
ทางเราได้บันทึกข้อมูลให้เรียบร้อยแล้วนะคะ,314.474,317.21
หลวงพ่อสะดวกเดินส่งช่องทางไหนดีค่ะ จะส่งวันนี้ได้เลยค่ะ,317.45,321.242
รบกวน,321.29,322.042
ขอ ข้อมูล,322.09,323.162
จาก สูง และ เบอร์ ติดต่อ,323.242,324.73
แล้วคุณลูกค้าต้องการยกเลิกการ,325.162,327.549
สั่งซื้อตับบัตรเครดิตไหมคะ ได้ค่ะ,327.549,330.202
ดำเนินการให้เรียบร้อยแล้วนะคะ,330.314,332.154
ความคิดที่ดีนะคะ,332.682,334.138
ขอให้ลูกค้า,334.282,335.482
มีความสุขในวันหยุดนะคะ,335.498,337.978
ในการเปลี่ยนโปรและ,338.09,339.642
ซื้อ โทรศัพท์ มี พ้อย คะแนน,339.594,341.69
ที่ลูกค้าสามารถนำไปใช้ได้ทันทีค่ะ,341.834,344.41
จะได้ส่วนลดในการซื้อสินค้าในบริการ ยึดทว่าข้อมูลที่,344.522,347.962
หรือ ลูกค้า ต้องการ,347.978,349.274
ได้รับครบถ้วนไหมคะ ดีแทค,349.194,351.258
ขอบคุณค่ะ,351.338,352.282
คุณพงศ์,352.938,353.978
ขอบคุณที่ให้บริการ,354.09,355.61
กับที่แท็กข้างนี้,355.562,356.634
ก่อน วางกาย,356.874,358.042
รบกวนให้คะแนนในการบริการครั้งนี้ด้วยนะคะ ขอบคุณค่ะ,358.026,361.783875
